"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"PSA";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX ApKa";"CX BpKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA Lipinski";"HBD Lipinski";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles"
"CHEMBL1583";"BACAMPICILLIN";"BACAMPICILLIN|Bacampicillin";"Small molecule";"4";"465.53";"6";"40";"1.30";"137.26";"9";"2";"0";"7";"N";"0.35";"11.72";"7.23";"1.47";"1.25";"1";"MOL";"0";"32";"10";"3";"0";"465.1570";"NEUTRAL";"C21H27N3O7S";"CCOC(=O)OC(C)OC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1(C)C"
"CHEMBL372795";"STREPTOMYCIN";"Chemform|Gerox|NSC-14083|STREPTOMYCIN|Strepcen";"Small molecule";"4";"581.58";"268";"2956";"-8.16";"336.43";"15";"12";"3";"9";"N";"0.07";"11.23";"10.07";"-7.06";"-11.79";"0";"MOL";"0";"40";"19";"16";"3";"581.2657";"BASE";"C21H39N7O12";"CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@@H]3[C@@H](N=C(N)N)[C@H](O)[C@@H](N=C(N)N)[C@H](O)[C@H]3O)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O"
"CHEMBL1644";"CEFADROXIL";"BAXAN|BL-S578|CEFADROXIL|CEFADROXIL MONOHYDRATE|CEFADROXIL/CEFADROXIL HEMIHYDRATE|Cefadrops|Cefadroxil|Cefadroxil/cefadroxil hemihydrate|Cefatabs|Duricef|MJF 11567-3|MJF-11567-3|Ultracef";"Small molecule";"4";"363.39";"39";"189";"0.15";"132.96";"6";"4";"0";"4";"N";"0.56";"3.25";"7.22";"-2.45";"-2.81";"1";"MOL";"0";"25";"8";"5";"0";"363.0889";"ACID";"C16H17N3O5S";"CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1"
"CHEMBL2104266";"EPICILLIN";"Dexacillin|EPICILLIN|SQ 11,302";"Small molecule";"0";"351.43";"";"";"0.22";"112.73";"5";"3";"0";"4";"N";"0.49";"3.25";"7.60";"-2.31";"-2.50";"0";"MOL";"0";"24";"7";"4";"0";"351.1253";"ACID";"C16H21N3O4S";"CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)C3=CCC=CC3)C(=O)N2[C@H]1C(=O)O"
"CHEMBL3351077";"CEFSULODIN";"CEFSULODIN";"Small molecule";"4";"532.56";"39";"77";"-0.90";"190.88";"8";"3";"1";"8";"N";"0.22";"-1.37";"None";"-5.83";"-7.46";"2";"MOL";"0";"36";"12";"4";"2";"532.0723";"ACID";"C22H20N4O8S2";"NC(=O)c1cc[n+](CC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)[C@@H](c4ccccc4)S(=O)(=O)[O-])[C@H]3SC2)cc1"
"CHEMBL8965";"ROSARAMICIN";"ROSAMICIN|ROSARAMICIN|Rosaramicin|SCH 14947";"Small molecule";"0";"581.75";"4";"13";"2.67";"135.13";"10";"2";"1";"6";"N";"0.27";"12.82";"7.68";"2.68";"2.21";"0";"MOL";"0";"41";"10";"2";"1";"581.3564";"NEUTRAL";"C31H51NO9";"CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C/[C@]2(C)O[C@H]2[C@@H]1C"
"CHEMBL1200321";"SULFISOXAZOLE DIOLAMINE";"Gantrisin|NU-445|SULFISOXAZOLE DIOLAMINE";"Small molecule";"4";"372.45";"";"";"1.67";"98.22";"5";"2";"0";"3";"N";"0.82";"5.80";"2.17";"0.73";"-0.14";"2";"MOL";"0";"18";"6";"3";"0";"267.0678";"ACID";"C15H24N4O5S";"Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C.OCCNCCO"
"CHEMBL549473";"DIPYRITHIONE";"DIPYRITHIONE|OMDS";"Small molecule";"0";"252.32";"20";"49";"1.75";"53.88";"4";"0";"0";"3";"N";"0.47";"None";"0.55";"0.83";"0.83";"2";"MOL";"0";"16";"4";"0";"0";"252.0027";"NEUTRAL";"C10H8N2O2S2";"[O-][n+]1ccccc1SSc1cccc[n+]1[O-]"
"CHEMBL2108216";"ALAMECIN";"ALAMECIN";"Unknown";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";""
"CHEMBL1200995";"CEFTRIAXONE SODIUM";"CEFTRIAXONE|Ro-13-9904|Rocephin";"Small molecule";"0";"576.57";"1";"1";"-1.20";"215.22";"15";"4";"2";"8";"N";"0.13";"2.72";"3.54";"-1.00";"-5.53";"2";"MOL";"-1";"36";"15";"5";"2";"554.0461";"ACID";"C18H17N8NaO7S3";"CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c(O)nn3C)CS[C@H]12)c1csc(N)n1.[Na+]"
"CHEMBL2364603";"ACORAFLOXACIN HYDROCHLORIDE";"ACORAFLOXACIN HYDROCHLORIDE|AVAROFLOXACIN HYDROCHLORIDE|JNJ-32729463|JNJ-32729463-AAC|JNJ-32729463AAC";"Small molecule";"2";"455.89";"";"";"2.96";"97.79";"6";"2";"0";"5";"N";"0.77";"5.52";"8.13";"-0.49";"-0.52";"2";"MOL";"0";"30";"7";"3";"0";"419.1657";"ACID";"C21H24ClF2N3O4";"COc1c(N2CCC/C(=C(\F)CN)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12.Cl"
"CHEMBL3306903";"ACETOSULFONE";"";"Small molecule";"0";"369.42";"";"";"0.51";"149.42";"7";"3";"0";"4";"N";"0.66";"4.20";"1.91";"-0.14";"-1.08";"2";"MOL";"0";"24";"8";"5";"0";"369.0453";"ACID";"C14H15N3O5S2";"CC(=O)NS(=O)(=O)c1cc(N)ccc1S(=O)(=O)c1ccc(N)cc1"
"CHEMBL2106440";"PIRIDICILLIN SODIUM";"CL-867|PIRIDICILLIN SODIUM";"Small molecule";"0";"751.77";"";"";"-0.17";"246.74";"11";"7";"3";"13";"N";"0.11";"3.48";"None";"-1.43";"-4.81";"3";"MOL";"0";"50";"16";"7";"3";"729.1774";"ACID";"C32H34N5NaO11S2";"CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)c3ccc(-c4ccc(S(=O)(=O)N(CCO)CCO)cc4)[nH]c3=O)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)[O-].[Na+]"
"CHEMBL407535";"NIFURIMIDE";"NF-1120|NIFURIMIDE";"Small molecule";"0";"238.20";"1";"2";"0.94";"100.98";"5";"1";"0";"3";"N";"0.48";"11.90";"None";"0.56";"0.56";"1";"MOL";"0";"17";"8";"1";"0";"238.0702";"NEUTRAL";"C9H10N4O4";"CC1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1"
"CHEMBL2103914";"TICLATONE";"FER-1443|TICLATONE";"Small molecule";"0";"185.63";"1";"10";"2.24";"32.86";"2";"1";"0";"0";"Y";"0.67";"9.49";"None";"1.96";"1.96";"2";"MOL";"0";"11";"2";"1";"0";"184.9702";"NEUTRAL";"C7H4ClNOS";"O=c1[nH]sc2cc(Cl)ccc12"
"CHEMBL1200936";"PENICILLIN G PROCAINE";"BENZYLPENICILLIN PROCAINE|Crysticillin|DURACILLIN A.S.|Duracillin|PENICILLIN G PROCAINE|PFIZERPEN-AS|PROCAINE PENICILLIN|Pfizerpen|Procaine Benzylpenicillin|Procaine Penicillin|Wycillin";"Small molecule";"4";"588.73";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"570.2512";"None";"C29H40N4O7S";"CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O.CCN(CC)CCOC(=O)c1ccc(N)cc1.O"
"CHEMBL1243";"SULFABENZAMIDE";"SULFABENZAMIDE|SULFABENZAMIDE (TRIPLE SULFA)|Sulfabenzamide";"Small molecule";"4";"276.32";"121";"298";"1.39";"89.26";"4";"2";"0";"3";"N";"0.83";"4.32";"2.09";"1.59";"0.65";"2";"MOL";"0";"19";"5";"3";"0";"276.0569";"ACID";"C13H12N2O3S";"Nc1ccc(S(=O)(=O)NC(=O)c2ccccc2)cc1"
"CHEMBL2107637";"ECENOFLOXACIN";"ECENOFLOXACIN";"Small molecule";"0";"372.40";"";"";"1.74";"101.45";"6";"2";"0";"3";"N";"0.85";"5.33";"9.65";"-0.61";"-0.61";"2";"MOL";"0";"27";"7";"3";"0";"372.1598";"ZWITTERION";"C19H21FN4O3";"C[C@@]12C[C@H](N)[C@@H]1CN(c1nc3c(cc1F)c(=O)c(C(=O)O)cn3C1CC1)C2"
"CHEMBL1727";"CEPHALEXIN";"66873|CEFALEXIN|CEPHALEXIN|Keflet|Keflex|Keftab";"Small molecule";"4";"347.40";"185";"1060";"0.44";"112.73";"5";"3";"0";"4";"N";"0.68";"3.26";"7.23";"-2.14";"-2.50";"1";"MOL";"0";"24";"7";"4";"0";"347.0940";"ACID";"C16H17N3O4S";"CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1"
"CHEMBL2111130";"THIPHENCILLIN";"TIFENCILLIN";"Small molecule";"0";"366.46";"";"";"1.41";"86.71";"5";"2";"0";"5";"N";"0.61";"3.48";"None";"1.24";"-2.14";"1";"MOL";"0";"24";"6";"2";"0";"366.0708";"ACID";"C16H18N2O4S2";"CC1(C)S[C@@H]2[C@H](NC(=O)CSc3ccccc3)C(=O)N2[C@H]1C(=O)O"
"CHEMBL1200610";"LORACARBEF";"LORACARBEF|LORACARBEF MONOHYDRATE|LY-163892 MONOHYDRATE|LY163892 MONOHYDRATE|Lorabid";"Small molecule";"4";"367.79";"";"";"0.71";"112.73";"4";"3";"0";"4";"N";"0.69";"2.93";"7.23";"-2.40";"-2.76";"1";"MOL";"0";"24";"7";"4";"0";"349.0829";"ACID";"C16H18ClN3O5";"N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CC[C@H]12)c1ccccc1.O"
"CHEMBL2218908";"COLISTIN SULFATE";"COLISTIN SULFATE|COLISTIN SULPHATE|COLY-MYCIN S|Cantrex|Colistin sulfate|Coly-mycin|Kanamycin|Kanamycin sulfate|Kannasyn|Kantrex|Kantrim|Klebcil";"Protein";"4";"2493.13";"4";"97";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"2295.5570";"None";"C105H206N32O32S2";"CC(C)CCCCC(=O)N[C@@H](CCN)C(=O)N[C@@H](CN[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O.CCC(C)CCCCC(=O)N[C@@H](CCN)C(=O)N[C@@H](CN[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O.O=S(=O)(O)O.O=S(=O)(O)O"
"CHEMBL295433";"ORBIFLOXACIN";"ORBIFLOXACIN|Orbax|Orbifloxacin";"Small molecule";"0";"395.38";"23";"125";"2.64";"74.57";"5";"2";"0";"3";"N";"0.78";"5.30";"8.77";"0.23";"0.22";"2";"MOL";"0";"28";"6";"2";"0";"395.1457";"ZWITTERION";"C19H20F3N3O3";"C[C@H]1CN(c2c(F)c(F)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@@H](C)N1"
"CHEMBL1200699";"DOXYCYCLINE";"DOXYCHEL|DOXYCYCLINE|DOXYCYCLINE ANHYDROUS|DOXYCYCLINE HYDROCHLORIDE|DOXYCYCLINE MONOHYDRATE|GS-3065|MONODOX|ORACEA|Vibramycin";"Small molecule";"4";"462.46";"";"";"-0.35";"181.62";"9";"6";"1";"2";"N";"0.33";"2.92";"7.46";"-3.29";"-3.57";"1";"MOL";"0";"32";"10";"7";"1";"444.1533";"ACID";"C22H26N2O9";"C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.O"
"CHEMBL1506";"CHLORAMPHENICOL PALMITATE";"CHLORAMPHENICOL PALMITATE|Chloramphenicol Palmitate|Chlorolifarina|Chloromycetin Palmitate|Chloropal";"Small molecule";"4";"561.55";"4";"7";"6.94";"118.77";"6";"2";"2";"21";"N";"0.06";"9.07";"None";"7.80";"7.79";"1";"MOL";"0";"37";"8";"2";"2";"560.2420";"NEUTRAL";"C27H42Cl2N2O6";"CCCCCCCCCCCCCCCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1"
"CHEMBL1200758";"AMPICILLIN SODIUM";"AMPICILLIN SODIUM|AMPICILLIN SODIUM SALT|Amp Equine|OMNIPEN-N|Omnipen|PENBRITIN-S|POLYCILLIN-N|Penbritin|Polycillin|Principen|Principen-N|TOTACILLIN-N|Totacillin";"Small molecule";"4";"371.39";"35";"66";"0.32";"112.73";"5";"3";"0";"4";"N";"0.67";"3.24";"7.23";"-2.00";"-2.36";"1";"MOL";"0";"24";"7";"4";"0";"349.1096";"ACID";"C16H18N3NaO4S";"CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[Na+]"
"CHEMBL339323";"PANIPENEM";"PANIPENEM";"Small molecule";"0";"339.42";"54";"162";"0.70";"104.93";"5";"3";"0";"4";"N";"0.40";"3.51";"12.21";"-3.56";"-3.56";"0";"MOL";"0";"23";"7";"3";"0";"339.1253";"ZWITTERION";"C15H21N3O4S";"CC(=N)N1CC[C@H](SC2=C(C(=O)O)N3C(=O)[C@H]([C@@H](C)O)[C@H]3C2)C1"
"CHEMBL1257051";"TEDIZOLID";"SIVEXTRO|TEDIZOLID|TOREZOLID|TR-700|Torezolid";"Small molecule";"4";"370.34";"33";"337";"1.40";"106.26";"8";"1";"0";"4";"N";"0.74";"None";"None";"2.12";"2.12";"3";"MOL";"0";"27";"9";"1";"0";"370.1190";"NEUTRAL";"C17H15FN6O3";"Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](CO)OC4=O)cc3F)cn2)n1"
"CHEMBL3989764";"MIDEPLANIN";"MIDEPLANIN";"Unknown";"0";"1963.85";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"1961.6617";"None";"C93H109Cl2N11O32";"CC(=O)N[C@H]1[C@H](O[C@@H]2c3ccc(c(Cl)c3)Oc3cc4cc(c3O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3NC(=O)CCCCCCC(C)C)Oc3ccc(cc3Cl)C[C@H]3NC(=O)[C@H](N)c5ccc(O)c(c5)Oc5cc(O)cc(c5)[C@H](NC3=O)C(=O)N[C@H]4C(=O)N[C@H]3C(=O)N[C@@H]2C(=O)N[C@H](C(=O)NCCCN(C)C)c2cc(O)cc(O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O)c2-c2cc3ccc2O)O[C@H](CO)[C@@H](O)[C@@H]1O"
"CHEMBL2107426";"FLUDALANINE";"FLUDALANINE";"Small molecule";"0";"108.09";"";"";"-0.63";"63.32";"2";"2";"0";"2";"N";"0.49";"1.95";"8.28";"-2.99";"-3.04";"0";"MOL";"0";"7";"3";"3";"0";"107.0383";"ACID";"C3H6FNO2";"[2H][C@@](N)(CF)C(=O)O"
"CHEMBL1095284";"CEFATRIZINE";"BL-S640|CEFATRIZINE";"Small molecule";"0";"462.51";"8";"22";"0.04";"174.53";"9";"5";"0";"7";"N";"0.28";"2.92";"7.22";"-2.19";"-2.56";"2";"MOL";"0";"31";"11";"6";"2";"462.0780";"ACID";"C18H18N6O5S2";"N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3c[nH]nn3)CS[C@H]12)c1ccc(O)cc1"
"CHEMBL339309";"MILOXACIN";"MILOXACIN|Miloxacin";"Small molecule";"0";"263.20";"9";"22";"0.49";"86.99";"6";"1";"0";"2";"N";"0.85";"5.13";"None";"1.15";"-1.10";"2";"MOL";"0";"19";"7";"1";"0";"263.0430";"ACID";"C12H9NO6";"COn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3"
"CHEMBL1200498";"ALATROFLOXACIN MESYLATE";"ALATROFLOXACIN MESYLATE|Alatrofloxacin|CP-116,517 -27|CP-116517-27|TROVAN PRESERVATIVE FREE";"Small molecule";"4";"654.62";"2";"5";"0.90";"159.65";"8";"4";"1";"7";"N";"0.33";"5.52";"8.09";"-0.88";"-0.92";"3";"MOL";"0";"40";"11";"5";"2";"558.1839";"ACID";"C27H29F3N6O8S";"CS(=O)(=O)O.C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]21"
"CHEMBL1539";"SULFADOXINE";"Fanasil|Fanzil|J21.373J|RO 4-4393|RO-4-4393|RO-44393|SULFADOXINE|Sulforthamidine|Sulphormethoxine|WR-4073";"Small molecule";"4";"310.34";"121";"771";"0.88";"116.43";"7";"2";"0";"5";"N";"0.79";"6.12";"3.44";"0.58";"-0.22";"2";"MOL";"0";"21";"8";"3";"0";"310.0736";"ACID";"C12H14N4O4S";"COc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC"
"CHEMBL1908313";"RIFAMEXIL";"MDL 62,769|RIFAMEXIL";"Small molecule";"0";"809.98";"1";"1";"6.50";"197.21";"14";"5";"3";"5";"N";"0.14";"6.45";"2.75";"6.12";"4.97";"3";"MOL";"0";"57";"14";"5";"3";"809.3557";"ACID";"C42H55N3O11S";"CCN(CC)c1nc2c(s1)c1c(O)c3c(O)c(C)c4c(c32)C(=O)[C@@](C)(O/C=C/[C@H](OC)[C@@H](C)[C@@H](OC(C)=O)[C@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@@H](C)/C=C/C=C(/C)C(=O)N1)O4"
"CHEMBL65794";"CEFPIROME";"CEFPIROME|HR-810 FREE BASE";"Small molecule";"4";"514.59";"42";"279";"-1.04";"153.92";"10";"2";"1";"7";"N";"0.21";"2.67";"3.54";"-4.02";"-3.65";"2";"MOL";"0";"35";"11";"3";"2";"514.1093";"ACID";"C22H22N6O5S2";"CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3cccc4c3CCC4)CS[C@H]12)c1csc(N)n1"
"CHEMBL2105612";"PROPICILLIN";"BAYCILLIN|PHENOXYPROPYLPENICILLIN|PROPICILLIN|PROPICILLIN POTASSIUM";"Small molecule";"4";"378.45";"";"";"1.48";"95.94";"5";"2";"0";"6";"N";"0.73";"3.39";"None";"1.85";"-1.55";"1";"MOL";"0";"26";"7";"2";"0";"378.1249";"ACID";"C18H22N2O5S";"CCC(Oc1ccccc1)C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12"
"CHEMBL1232510";"SOLITHROMYCIN";"CEM 101|CEM-101|OP 1068|OP-1068|SOLITHROMYCIN";"Small molecule";"3";"845.02";"8";"20";"4.60";"197.87";"15";"2";"2";"11";"N";"0.14";"12.83";"7.68";"5.76";"5.30";"2";"MOL";"0";"60";"16";"3";"2";"844.4746";"NEUTRAL";"C43H65FN6O10";"CC[C@H]1OC(=O)[C@@](C)(F)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cc(-c4cccc(N)c4)nn3)C(=O)O[C@]12C"
"CHEMBL5";"NALIDIXIC ACID";"MICTRAL|NALIDIXANE|NALIDIXIC ACID|NALIX|NEGRAM|NSC-82174|Neg Gram|Neggram|URIBEN|Uroneg|WIN 18,320|WIN-18320|Wintomylon";"Small molecule";"4";"232.24";"181";"1438";"1.42";"72.19";"4";"1";"0";"2";"N";"0.85";"4.37";"6.06";"0.79";"-0.45";"2";"MOL";"0";"17";"5";"1";"0";"232.0848";"ACID";"C12H12N2O3";"CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21"
"CHEMBL19633";"DIAVERIDINE";"BW 49-210|DIAVERIDINE|Diaveridine";"Small molecule";"0";"260.30";"30";"85";"1.25";"96.28";"6";"2";"0";"4";"N";"0.86";"None";"7.16";"1.44";"1.25";"2";"MOL";"0";"19";"6";"4";"0";"260.1273";"NEUTRAL";"C13H16N4O2";"COc1ccc(Cc2cnc(N)nc2N)cc1OC"
"CHEMBL323354";"PIVAMPICILLIN";"";"Small molecule";"0";"463.56";"6";"8";"1.32";"128.03";"8";"2";"0";"6";"N";"0.37";"11.71";"7.23";"2.07";"1.84";"1";"MOL";"-1";"32";"9";"3";"0";"463.1777";"NEUTRAL";"C22H29N3O6S";"CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)[C@@H](N)c3ccccc3)[C@H]2SC1(C)C"
"CHEMBL2104434";"ROSARAMICIN STEARATE";"ROSAMICIN STEARATE|ROSARAMICIN STEARATE|SCH 14947 STEARATE";"Small molecule";"0";"866.23";"";"";"2.67";"135.13";"10";"2";"1";"6";"N";"0.27";"12.82";"7.68";"2.68";"2.21";"0";"MOL";"0";"41";"10";"2";"1";"581.3564";"NEUTRAL";"C49H87NO11";"CCCCCCCCCCCCCCCCCC(=O)O.CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C/[C@]2(C)O[C@H]2[C@@H]1C"
"CHEMBL1753";"CLINDAMYCIN";"Antirobe|CHLORODEOXYLINCOMYCIN|CHLOROLINCOMYCIN|CLINDAMYCIN|Cleocin|Cleocin T|Clindamycin|Sobelin|U-21,251|U-21251";"Small molecule";"4";"424.99";"283";"3601";"0.39";"102.26";"7";"4";"0";"7";"N";"0.44";"12.41";"7.55";"1.04";"0.65";"0";"MOL";"0";"27";"7";"4";"0";"424.1799";"NEUTRAL";"C18H33ClN2O5S";"CCC[C@@H]1C[C@@H](C(=O)N[C@H]([C@H](C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1"
"CHEMBL3188576";"DIHYDROSTREPTOMYCIN SULFATE";"DIHYDROSTREPTOMYCIN SULFATE";"Small molecule";"4";"1461.43";"3";"3";"-7.95";"334.59";"15";"15";"3";"9";"N";"0.09";"11.91";"11.20";"-7.35";"-12.52";"0";"MOL";"0";"40";"19";"17";"3";"583.2813";"BASE";"C42H88N14O36S3";"CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@@H]3[C@@H](NC(=N)N)[C@H](O)[C@@H](NC(=N)N)[C@H](O)[C@H]3O)O[C@@H](C)[C@]2(O)CO)O[C@@H](CO)[C@H](O)[C@H]1O.CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@@H]3[C@@H](NC(=N)N)[C@H](O)[C@@H](NC(=N)N)[C@H](O)[C@H]3O)O[C@@H](C)[C@]2(O)CO)O[C@@H](CO)[C@H](O)[C@H]1O.O=S(=O)(O)O.O=S(=O)(O)O.O=S(=O)(O)O"
"CHEMBL560976";"DIBEKACIN";"DIBEKACIN|DIBEKACIN SULFATE";"Small molecule";"0";"451.52";"11";"59";"-5.27";"247.94";"13";"9";"2";"6";"N";"0.18";"12.54";"9.80";"-5.33";"-12.72";"0";"MOL";"0";"31";"13";"14";"2";"451.2642";"BASE";"C18H37N5O8";"NC[C@@H]1CC[C@@H](N)[C@@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)O1"
"CHEMBL2104463";"VEBUFLOXACIN";"VEBUFLOXACIN";"Small molecule";"0";"359.40";"";"";"2.10";"65.78";"5";"1";"0";"2";"N";"0.89";"5.55";"6.42";"1.36";"0.58";"2";"MOL";"0";"26";"6";"1";"0";"359.1645";"ACID";"C19H22FN3O3";"CC1CCc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23"
"CHEMBL606258";"OLEANDOMYCIN";"E704|OLEANDOMYCIN";"Small molecule";"0";"687.87";"9";"63";"1.91";"165.98";"13";"3";"2";"6";"N";"0.27";"12.67";"8.38";"2.98";"1.95";"0";"MOL";"0";"48";"13";"3";"2";"687.4194";"NEUTRAL";"C35H61NO12";"CO[C@H]1C[C@H](O[C@@H]2[C@@H](C)C(=O)O[C@H](C)[C@H](C)[C@H](O)[C@@H](C)C(=O)[C@]3(CO3)C[C@H](C)[C@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3O)[C@H]2C)O[C@@H](C)[C@@H]1O"
"CHEMBL1200651";"PENICILLIN G BENZATHINE";"BICILLIN|BICILLIN L-A|E708";"Small molecule";"0";"574.75";"";"";"0.86";"86.71";"4";"2";"0";"4";"N";"0.80";"3.53";"None";"1.08";"-2.29";"1";"MOL";"-1";"23";"6";"2";"0";"334.0987";"ACID";"C32H38N4O4S";"CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O.c1ccc(CNCCNCc2ccccc2)cc1"
"CHEMBL1167";"SPECTINOMYCIN";"CHX-3101|SPECTINOMYCIN|Spectinomycin|Trobicin";"Small molecule";"4";"332.35";"140";"528";"-2.93";"129.51";"9";"5";"0";"2";"N";"0.36";"8.66";"9.17";"-2.20";"-3.09";"0";"MOL";"0";"23";"9";"5";"0";"332.1584";"BASE";"C14H24N2O7";"CN[C@H]1[C@@H](O)[C@@H](NC)[C@H](O)[C@H]2O[C@@H]3O[C@H](C)CC(=O)[C@]3(O)O[C@H]12"
"CHEMBL556262";"FAROPENEM";"FAROPENEM";"Small molecule";"3";"285.32";"25";"171";"0.37";"87.07";"5";"2";"0";"3";"N";"0.73";"3.97";"None";"-0.75";"-3.93";"0";"MOL";"0";"19";"6";"2";"0";"285.0671";"ACID";"C12H15NO5S";"C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C([C@H]3CCCO3)S[C@H]12"
"CHEMBL2146123";"METHACYCLINE HYDROCHLORIDE";"METACYCLINE HYDROCHLORIDE|METHACYCLINE HYDROCHLORIDE|NSC-356465|Rondomycin";"Small molecule";"4";"478.89";"47";"92";"-0.44";"181.62";"9";"6";"1";"2";"N";"0.33";"2.88";"7.41";"-3.51";"-3.81";"1";"MOL";"0";"32";"10";"7";"1";"442.1376";"ACID";"C22H23ClN2O8";"C=C1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]12.Cl"
