Name,SMILES,hit_inh,hit_kill
trichlormethiazide,"NS(=O)(=O)c1cc2c(N[C@@H](NS2(=O)=O)C(Cl)Cl)cc1Cl |&1:9,r|",0.0,0.0
galeterone,"[H][C@@]12CC=C(n3cnc4ccccc34)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C |t:3,27|",0.0,0.0
cefamandole,Cn1nnnc1SCC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](O)c1ccccc1)C2=O)C(O)=O |t:9|,0.0,0.0
adiphenine,CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,0.0,0.0
chloroquine,CCN(CC)CCC[C@@H](C)Nc1ccnc2cc(Cl)ccc12 |&1:8|,0.0,0.0
rivaroxaban,Clc1ccc(s1)C(=O)NC[C@H]1CN(C(=O)O1)c1ccc(cc1)N1CCOCC1=O,0.0,0.0
acumapimod,Cc1ccc(cc1-n1ncc(C(=O)c2cccc(c2)C#N)c1N)C(=O)NC1CC1,0.0,0.0
paquinimod,CCN(C(=O)c1c(O)c2c(CC)cccc2n(C)c1=O)c1ccccc1,0.0,0.0
ML133,COc1ccc(CNCc2cccc3ccccc23)cc1,0.0,0.0
bopindolol,Cc1cc2c(OC[C@@H](CNC(C)(C)C)OC(=O)c3ccccc3)cccc2[nH]1 |&1:7|,0.0,0.0
ML218,CC(C)(C)CCN1C[C@H]2[C@H](CNC(=O)c3cc(Cl)cc(Cl)c3)[C@H]2C1,0.0,0.0
indeloxazine,"C(Oc1cccc2C=CCc12)[C@H]1CNCCO1 |&1:11,c:7|",0.0,0.0
YM-511,Brc1ccc(CN(c2ccc(cc2)C#N)n2cnnc2)cc1,0.0,0.0
adenosine,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,0.0,0.0
SC-12267,COc1cccc(c1)-c1ccc(NC(=O)C2=C(CCC2)C(O)=O)c(F)c1 |t:16|,0.0,0.0
ursodeoxycholyltaurine,C[C@H](CCC(=O)NCCS(O)(=O)=O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,0.0,0.0
etazolate,CCOC(=O)c1cnc2n(CC)ncc2c1NN=C(C)C,0.0,0.0
talnetant,CC[C@H](NC(=O)c1c(O)c(nc2ccccc12)-c1ccccc1)c1ccccc1,0.0,0.0
triflusal,CC(=O)Oc1cc(ccc1C(O)=O)C(F)(F)F,0.0,0.0
AMG-487,CCOc1ccc(cc1)-n1c(nc2ncccc2c1=O)[C@@H](C)N(Cc1cccnc1)C(=O)Cc1ccc(OC(F)(F)F)cc1,0.0,0.0
isofloxythepin,"CC(C)c1ccc2Sc3cc(F)ccc3C[C@@H](N3CCN(CCO)CC3)c2c1 |&1:16,r|",0.0,0.0
secalciferol,C[C@H](CC[C@@H](O)C(C)(C)O)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,0.0,0.0
PD-168568,Cc1ccc(cc1C)N1CCN(CC[C@H]2NC(=O)c3ccccc23)CC1 |&1:14|,0.0,0.0
chlorfenson,Clc1ccc(OS(=O)(=O)c2ccc(Cl)cc2)cc1,0.0,0.0
idazoxan,"C1CN=C(N1)[C@H]1COc2ccccc2O1 |r,c:2|",0.0,0.0
g-caryophyllene,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1 |c:1|,0.0,0.0
FK-962,CC(=O)N1CCC(CC1)NC(=O)c1ccc(F)cc1,0.0,0.0
salicylanilide,Oc1ccccc1C(=O)Nc1ccccc1,0.0,0.0
oprozomib,COC[C@H](NC(=O)[C@H](COC)NC(=O)c1cnc(C)s1)C(=O)N[C@@H](Cc1ccccc1)C(=O)[C@@]1(C)CO1,0.0,0.0
octreotide,"C[C@@H](O)[C@@H](CO)NC(=O)[C@H]1CSSC[C@@H](NC(=O)[C@@H](N)Cc2ccccc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N1 |&1:1,&2:3,&3:9,&4:14,&5:18,&6:30,&7:41,&8:55,&9:64,&10:65|",0.0,0.0
JNJ-64619178,Nc1nc2cc(CC[C@H]3C[C@H]([C@H](O)[C@@H]3O)n3ccc4c(N)ncnc34)ccc2cc1Br,0.0,0.0
VX-745,Fc1ccc(Sc2ccc3c(-c4c(Cl)cccc4Cl)c(=O)ncn3n2)c(F)c1,0.0,0.0
tipelukast,CCCc1c(O)c(ccc1SCCCOc1ccc(C(C)=O)c(OCCCC(O)=O)c1CCC)C(C)=O,0.0,0.0
CNX-2006,COc1cc(NC2CN(CCF)C2)ccc1Nc1ncc(c(Nc2cccc(NC(=O)C=C)c2)n1)C(F)(F)F,0.0,0.0
lazabemide,NCCNC(=O)c1ccc(Cl)cn1,0.0,0.0
TCS-5861528,"CC[C@@H](C)c1ccc(NC(=O)Cn2cnc3n(C)c(=O)n(C)c(=O)c23)cc1 |&1:2,r|",0.0,0.0
riboflavin,Cc1cc2nc3c(nc(=O)[nH]c3=O)n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,0.0,0.0
taurolidine,O=S1(=O)CCN(CN2CCS(=O)(=O)NC2)CN1,0.0,0.0
brigatinib,COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1)N1CCC(CC1)N1CCN(C)CC1,0.0,0.0
1-ethyl-2-pyrrolidone,CCN1CCCC1=O,0.0,0.0
MI-14,CN(C)S(=O)(=O)c1cccc(c1)-c1c(C)nc2c(NCCNC(C)=O)cc(Cl)nn12,0.0,0.0
terconazole,CC(C)N1CCN(CC1)c1ccc(OC[C@H]2CO[C@@](Cn3cncn3)(O2)c2ccc(Cl)cc2Cl)cc1,0.0,0.0
EW-7197,Cc1cccc(n1)-c1nc(CNc2ccccc2F)[nH]c1-c1ccc2ncnn2c1,0.0,0.0
KP-1212,NC1=NC(=O)N(CN1)[C@H]1C[C@@H](O)[C@@H](CO)O1 |t:1|,0.0,0.0
transcrocetinate,C\C(\C=C\C=C(/C)C(O)=O)=C/C=C/C=C(\C)/C=C/C=C(\C)C(O)=O,0.0,0.0
dantron,Oc1cccc2C(=O)c3cccc(O)c3C(=O)c12,0.0,0.0
pritelivir,CN(C(=O)Cc1ccc(cc1)-c1ccccn1)c1nc(C)c(s1)S(N)(=O)=O,0.0,0.0
SR-33805,COc1ccc(CCN(C)CCCOc2ccc(cc2)S(=O)(=O)c2c(C(C)C)c3ccccc3n2C)cc1OC,0.0,0.0
alanosine,N[C@@H](CN(O)[N+][O-])C(O)=O,0.0,0.0
fulvestrant,"C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@H](CCCCCCCCC[S@@](=O)CCCC(F)(F)C(F)(F)F)Cc1cc(O)ccc31 |a:1,4,5,6,9,11,&1:21|",0.0,0.0
SCH-221510,"Cc1ccccc1C(N1[C@H]2CC[C@@H]1C[C@](O)(C2)c1ccccc1)c1ccccc1C |&1:9,12,14,r|",0.0,0.0
DY131,CCN(CC)c1ccc(\C=N\NC(=O)c2ccc(O)cc2)cc1,0.0,0.0
NGB-2904,Clc1cccc(N2CCN(CCCCNC(=O)c3ccc-4c(Cc5ccccc-45)c3)CC2)c1Cl,0.0,0.0
TC-H-106,Cc1ccc(NC(=O)CCCCCC(=O)Nc2ccccc2N)cc1,0.0,0.0
amineptine,OC(=O)CCCCCCNC1c2ccccc2CCc2ccccc12,0.0,0.0
netilmicin,[H][C@]1(O[C@@H]2[C@@H](N)C[C@@H](NCC)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)OC(CN)=CC[C@H]1N |c:32|,0.0,0.0
N-alpha-methylhistamine-dihydrochloride,CNCCc1cnc[nH]1,0.0,0.0
N-MPPP,CN([C@H](CN1CCCC1)c1ccccc1)C(=O)Cc1ccccc1,0.0,0.0
XL888,[H][C@]1(C[C@@H]2CC[C@H](C1)N2c1ccc(cn1)C(=O)C1CC1)NC(=O)c1cc(N[C@H](C)CC)c(cc1C)C(N)=O |TLB:9:8:4.5:1.2.7|,0.0,0.0
sangivamycin,NC(=O)c1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2ncnc(N)c12,0.0,0.0
EUK-134,"COc1cccc2C=[N+]3CC[N+]4=Cc5cccc(OC)c5O[Mn]34(Cl)Oc12 |t:7,11|",0.0,0.0
MDMS,CS(=O)(=O)OCOS(C)(=O)=O,0.0,0.0
PRT062607,N[C@H]1CCCC[C@H]1Nc1ncc(C(N)=O)c(Nc2cccc(c2)-n2nccn2)n1,0.0,0.0
carteolol,CC(C)(C)NCC(O)COc1cccc2NC(=O)CCc12,0.0,0.0
BAY-2402234,CCn1c(CO)nn(-c2cc(O[C@@H](C)C(F)(F)F)c(cc2F)C(=O)Nc2c(F)cccc2Cl)c1=O,0.0,0.0
API-001,Cc1cc(OCCN2CCOCC2)nn1-c1ccc2ccccc2c1,0.0,0.0
fendiline,C[C@@H](NCCC(c1ccccc1)c1ccccc1)c1ccccc1 |&1:1|,0.0,0.0
AZD4573,CC(=O)N[C@@H]1CCC[C@@H](C1)C(=O)Nc1cc(-c2cnn3CC(C)(C)Cc23)c(Cl)cn1,0.0,0.0
bicuculline-(+),CN1CCc2cc3OCOc3cc2[C@H]1[C@@H]1OC(=O)c2c1ccc1OCOc21,0.0,0.0
fostamatinib,COc1cc(Nc2ncc(F)c(Nc3ccc4OC(C)(C)C(=O)N(COP(O)(O)=O)c4n3)n2)cc(OC)c1OC,0.0,0.0
tremorine,C(C#CCN1CCCC1)N1CCCC1,0.0,0.0
tranexamic-acid,NC[C@H]1CC[C@@H](CC1)C(O)=O |r|,0.0,0.0
GS-143,OC(=O)c1ccc(cc1)N1N=C(Cc2ccccc2)\C(=C/c2ccc(o2)-c2ccccc2F)C1=O |t:11|,0.0,0.0
hetacillin,CC1(C)S[C@@H]2[C@H](N3C(=O)[C@H](NC3(C)C)c3ccccc3)C(=O)N2[C@H]1C(O)=O,0.0,0.0
amlodipine,"CCOC(=O)C1=C(COCCN)NC(C)=C([C@H]1c1ccccc1Cl)C(=O)OC |&1:16,r,c:5,14|",0.0,0.0
tecovirimat,FC(F)(F)c1ccc(cc1)C(=O)NN1C(=O)[C@H]2[C@H]([C@H]3C=C[C@@H]2[C@@H]2C[C@H]32)C1=O |c:20|,0.0,0.0
4E1RCat,OC(=O)c1ccc(cc1)N1C(=O)\C(=C\c2ccc(o2)-c2ccc(cc2)[N+]([O-])=O)C=C1c1ccccc1 |c:31|,0.0,0.0
SKA-31,Nc1nc2c(ccc3ccccc23)s1,0.0,0.0
azimilide,CN1CCN(CCCCN2C(=O)CN(\N=C\c3ccc(o3)-c3ccc(Cl)cc3)C2=O)CC1,0.0,0.0
udenafil,"CCCOc1ccc(cc1-c1nc2c(CCC)nn(C)c2c(=O)[nH]1)S(=O)(=O)NCC[C@@H]1CCCN1C |&1:30,r|",0.0,0.0
denotivir,Cc1nsc(NC(=O)c2ccccc2)c1C(=O)Nc1ccc(Cl)cc1,0.0,0.0
LIMKi-3,CC(C)C(=O)Nc1ncc(s1)-c1cc(nn1-c1c(Cl)cccc1Cl)C(F)F,0.0,0.0
atropine,"CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@@H](CO)c1ccccc1 |a:2,5,7,&1:12,THB:9:7:1:3.4|",0.0,0.0
cotinine,CN1[C@@H](CCC1=O)c1cccnc1,0.0,0.0
"5-(4chlorophenyl)-4-ethyl-2,4-dihydro-3H-1,2,4-triazol-3-one",CCn1c(n[nH]c1=O)-c1ccc(Cl)cc1,0.0,0.0
opicapone,Cc1c(Cl)c(C)[n+]([O-])c(Cl)c1-c1noc(n1)-c1cc(O)c(O)c(c1)[N+]([O-])=O,0.0,0.0
AM-92016,CN(CCc1ccc(Cl)c(Cl)c1)C[C@@H](O)COc1ccc(NS(C)(=O)=O)cc1 |&1:13|,0.0,0.0
bavisant,O=C(N1CCN(CC1)C1CC1)c1ccc(CN2CCOCC2)cc1,0.0,0.0
PKI-166,C[C@@H](Nc1ncnc2[nH]c(cc12)-c1ccc(O)cc1)c1ccccc1,0.0,0.0
dimethisoquin,CCCCc1cc2ccccc2c(OCCN(C)C)n1,0.0,0.0
L-mimosine,N[C@@H](CN1CC(=O)C(=O)C=C1)C(O)=O |c:9|,0.0,0.0
tanshinone-IIA,Cc1coc-2c1C(=O)C(=O)c1c3CCCC(C)(C)c3ccc-21,0.0,0.0
CH223191,Cc1ccccc1\N=N\c1ccc(NC(=O)c2ccnn2C)c(C)c1,0.0,0.0
UNC0737,COc1cc2c(nc(nc2cc1OCCCN1CCCC1)C1CCCCC1)N(C)C1CCN(CC1)C(C)C,0.0,0.0
epothilone-A,C[C@H]1CCC[C@H]2O[C@H]2C[C@H](OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@H]1O)C(\C)=C\c1csc(C)n1,0.0,0.0
PSB-11,CC[C@@H]1CN2C(=N1)c1nc([nH]c1N(C)C2=O)-c1ccccc1 |c:5|,0.0,0.0
lifirafenib,FC(F)(F)c1ccc2nc([nH]c2c1)[C@@H]1[C@H]2Oc3ccc(Oc4ccnc5NC(=O)CCc45)cc3[C@@H]12,0.0,0.0
prednisolone,"C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO |a:1,3,15,20,&1:5,&2:6,&3:17,c:13,t:9|",0.0,0.0
bemegride,CCC1(C)CC(=O)NC(=O)C1,0.0,0.0
M-344,CN(C)c1ccc(cc1)C(=O)NCCCCCCC(=O)NO,0.0,0.0
istradefylline,CCn1c2nc(\C=C\c3ccc(OC)c(OC)c3)n(C)c2c(=O)n(CC)c1=O,0.0,0.0
tanespimycin,"CO[C@H]1C[C@H](C)CC2=C(NCC=C)C(=O)C=C(NC(=O)\C(C)=C\C=C/[C@H](OC)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1O)C2=O |c:7,23,t:15,21,34|",0.0,0.0
latrepirdine,CN1CCc2c(C1)c1cc(C)ccc1n2CCc1ccc(C)nc1,0.0,0.0
sclareol,"CC(O)(CC[C@H]1[C@](C)(O)CC[C@H]2C(C)(C)CCC[C@]12C)C=C |a:5,6,18,&1:1,&2:11|",0.0,0.0
buspirone,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)c1ncccn1,0.0,0.0
netupitant,CN(C(=O)C(C)(C)c1cc(cc(c1)C(F)(F)F)C(F)(F)F)c1cnc(cc1-c1ccccc1C)N1CCN(C)CC1,0.0,0.0
GW-4064,CC(C)c1onc(c1COc1ccc(\C=C\c2cccc(c2)C(O)=O)c(Cl)c1)-c1c(Cl)cccc1Cl,0.0,0.0
tigecycline,"[H][C@@]12Cc3c(cc(NC(=O)CNC(C)(C)C)c(O)c3C(=O)[C@@H]1C(=O)[C@]1(O)C(=O)[C@H](C(N)=O)C(=O)[C@@H](N(C)C)[C@]1([H])C2)N(C)C |&1:28,&2:21|",0.0,0.0
rolitetracycline,"CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(O)=C(C(=O)NCN2CCCC2)C1=O)C(=O)c1c(O)cccc1[C@@]3(C)O |a:3,4,6,10,35,&1:7,&2:14,t:7,14|",0.0,0.0
CY208-243,CN1Cc2ccccc2[C@H]2[C@H]1Cc1c[nH]c3cccc2c13,0.0,0.0
tauroglycocholate,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCC(=O)NCCS(O)(=O)=O,0.0,0.0
dibekacin,NC[C@@H]1CC[C@@H](N)[C@@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)O1,0.0,0.0
bindarit,CC(C)(OCc1nn(Cc2ccccc2)c2ccccc12)C(O)=O,0.0,0.0
nemazoline,Nc1c(Cl)cc(C=C2NCCN2)cc1Cl,0.0,0.0
KML29,OC(C1CCN(CC1)C(=O)OC(C(F)(F)F)C(F)(F)F)(c1ccc2OCOc2c1)c1ccc2OCOc2c1,0.0,0.0
halothane,"FC(F)(F)[C@@H](Cl)Br |&1:4,r|",0.0,0.0
estradiol,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,0.0,0.0
isavuconazole,"C[C@@H](c1nc(cs1)-c1ccc(cc1)C#N)[C@@](O)(Cn1cncn1)c1cc(F)ccc1F |a:1,&1:15|",0.0,0.0
BAY1125976,NC(=O)c1ccc2nc(c(-c3ccccc3)n2n1)-c1ccc(cc1)C1(N)CCC1,0.0,0.0
fluphenazine-decanoate,CCCCCCCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)C(F)(F)F)CC1,0.0,0.0
BMY-7378,COc1ccccc1N1CCN(CCN2C(=O)CC3(CCCC3)CC2=O)CC1,0.0,0.0
dimesna,OS(=O)(=O)CCSSCCS(O)(=O)=O,0.0,0.0
anpirtoline,Clc1cccc(SC2CCNCC2)n1,0.0,0.0
KU-60019,C[C@H]1CN(CC(=O)Nc2ccc3Sc4c(Cc3c2)cccc4-c2cc(=O)cc(o2)N2CCOCC2)C[C@@H](C)O1,0.0,0.0
oxaliplatin,O=C1O[Pt]2(N[C@@H]3CCCC[C@H]3N2)OC1=O,0.0,0.0
mefenamic-acid,Cc1cccc(Nc2ccccc2C(O)=O)c1C,0.0,0.0
clinofibrate,"CCC(C)(Oc1ccc(cc1)C1(CCCCC1)c1ccc(O[C@](C)(CC)C(O)=O)cc1)C(O)=O |&1:22,&2:2,r|",0.0,0.0
cetilistat,CCCCCCCCCCCCCCCCOc1nc2ccc(C)cc2c(=O)o1,0.0,0.0
spectinomycin,CN[C@@H]1[C@H](O)[C@H](NC)[C@H]2O[C@]3(O)[C@@H](O[C@H](C)CC3=O)O[C@@H]2[C@H]1O,0.0,0.0
nedocromil,CCCc1c2oc(cc(=O)c2cc2c1n(CC)c(cc2=O)C(O)=O)C(O)=O,0.0,0.0
OSI-027,COc1cccc2cc([nH]c12)-c1nc([C@H]2CC[C@@H](CC2)C(O)=O)n2ncnc(N)c12 |r|,0.0,0.0
asaraldehyde,COc1cc(OC)c(C=O)cc1OC,0.0,0.0
debrisoquin,NC(=N)N1CCc2ccccc2C1,0.0,0.0
benznidazole,[O-][N+](=O)c1nccn1CC(=O)NCc1ccccc1,0.0,0.0
medronic-acid,OP(O)(=O)CP(O)(O)=O,0.0,0.0
AC-55649,CCCCCCCCc1ccc(cc1)-c1ccc(cc1)C(O)=O,0.0,0.0
irsogladine,Nc1nc(N)nc(n1)-c1cc(Cl)ccc1Cl,0.0,0.0
sodium-nitroprusside,[O-][N+][Fe--](C#N)(C#N)(C#N)(C#N)C#N,0.0,0.0
G-15,"Brc1cc2OCOc2cc1[C@H]1Nc2ccccc2[C@H]2C=CC[C@@H]12 |&1:10,18,22,c:22|",0.0,0.0
anidulafungin,CCCCCOc1ccc(cc1)-c1ccc(cc1)-c1ccc(cc1)C(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)[C@@H](C)CN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC1=O)[C@@H](C)O)[C@H](O)[C@@H](O)c1ccc(O)cc1)[C@@H](C)O |r|,0.0,0.0
AZM-475271,COc1ccc(Cl)c(Nc2ncnc3cc(OCC4CCN(C)CC4)c(OC)cc23)c1,0.0,0.0
paritaprevir,Cc1cnc(cn1)C(=O)N[C@H]1CCCCC\C=C/[C@@H]2C[C@]2(NC(=O)[C@@H]2C[C@H](CN2C1=O)Oc1nc2ccccc2c2ccccc12)C(=O)NS(=O)(=O)C1CC1 |c:17|,0.0,0.0
bamaquimast,CCCn1c2ccccc2nc(CCCOC(=O)NC)c1=O,0.0,0.0
epristeride,"[H][C@@]12CC[C@H](C(=O)NC(C)(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C=C(CC[C@]12C)C(O)=O |c:25,t:23|",0.0,0.0
alpidem,CCCN(CCC)C(=O)Cc1c(nc2ccc(Cl)cn12)-c1ccc(Cl)cc1,0.0,0.0
BOS-172722,CCOc1cc(ccc1Nc1ncc2cc(C)nc(NCC(C)(C)C)c2n1)-c1nncn1C,0.0,0.0
sennoside-protonated,"OC[C@H]1O[C@@H](Oc2cccc3c(-c4c5cccc(O[C@H]6O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]6O)c5c(O)c5c(O)cc(cc45)C(O)=O)c4cc(cc(O)c4c(O)c23)C(O)=O)[C@@H](O)[C@@H](O)[C@@H]1O |&1:2,&2:4,&3:19,&4:21,&5:24,&6:26,&7:28,&8:56,&9:58,&10:60,r|",0.0,0.0
GDC-0879,OCCn1cc(c(n1)-c1ccncc1)-c1ccc2\C(CCc2c1)=N\O,0.0,0.0
esaxerenone,Cc1c(cn(CCO)c1-c1ccccc1C(F)(F)F)C(=O)Nc1ccc(cc1)S(C)(=O)=O,0.0,0.0
brincidofovir,CCCCCCCCCCCCCCCCOCCCOP(O)(=O)CO[C@H](CO)Cn1ccc(N)nc1=O,0.0,0.0
ampalex,O=C(N1CCCCC1)c1ccc2nccnc2c1,0.0,0.0
BW-723C86,C[C@@H](N)Cc1c[nH]c2ccc(OCc3cccs3)cc12 |&1:1|,0.0,0.0
cipargamin,C[C@H]1Cc2c([nH]c3cc(Cl)c(F)cc23)[C@@]2(N1)C(=O)Nc1ccc(Cl)cc21,0.0,0.0
nitenpyram,CCN(Cc1ccc(Cl)nc1)C(\NC)=C\[N+]([O-])=O,0.0,0.0
licochalcone-A,COc1cc(O)c(cc1\C=C\C(=O)c1ccc(O)cc1)C(C)(C)C=C,0.0,0.0
LY310762,CC1(C)C(=O)N(CCN2CCC(CC2)C(=O)c2ccc(F)cc2)c2ccccc12,0.0,0.0
aceglutamide,CC(=O)N[C@@H](CCC(N)=O)C(O)=O,0.0,0.0
baloxavir,[H][C@@]12COCCN1C(=O)c1c(O)c(=O)ccn1N2[C@@H]1c2ccccc2SCc2c(F)c(F)ccc12,0.0,0.0
1-acetyl-4-methylpiperazine,CN1CCN(CC1)C(C)=O,0.0,0.0
seratrodast,"CC1=C(C)C(=O)C([C@@H](CCCCCC(O)=O)c2ccccc2)=C(C)C1=O |r,c:1,t:22|",0.0,0.0
TC-F-2,CCn1c2ccccc2n([C@H]2CCCN(C2)c2nccc(n2)-c2cc3ccccc3o2)c1=O,0.0,0.0
lobeline,CN1[C@H](C[C@H](O)c2ccccc2)CCC[C@@H]1CC(=O)c1ccccc1,0.0,0.0
gallamine-triethiodide,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,0.0,0.0
moxaverine,CCc1cc2cc(OC)c(OC)cc2c(Cc2ccccc2)n1,0.0,0.0
PF-06305591,C[C@H]([C@H](N)c1nc2cc(ccc2[nH]1)C(C)(C)C)C(N)=O,0.0,0.0
UBP-302,N[C@@H](Cn1ccc(=O)n(Cc2ccccc2C(O)=O)c1=O)C(O)=O,0.0,0.0
quinelorane,CCCN1CCC[C@@H]2Cc3nc(N)ncc3C[C@@H]12,0.0,0.0
sodium-danshensu,O[C@@H](Cc1ccc(O)c(O)c1)C(O)=O |&1:1|,0.0,0.0
pelanserin,O=c1[nH]c2ccccc2c(=O)n1CCCN1CCN(CC1)c1ccccc1,0.0,0.0
ryuvidine,Cc1nc2c(s1)C(=O)C=C(Nc1ccc(C)cc1)C2=O |t:9|,0.0,0.0
pinitol,CO[C@@H]1[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@H]1O,0.0,0.0
MPEP,Cc1cccc(n1)C#Cc1ccccc1,0.0,0.0
MK-571,CN(C)C(=O)CCS[C@@H](SCCC(O)=O)c1cccc(\C=C\c2ccc3ccc(Cl)cc3n2)c1 |&1:8|,0.0,0.0
tofacitinib,C[C@@H]1CCN(C[C@@H]1N(C)c1ncnc2[nH]ccc12)C(=O)CC#N,0.0,0.0
alpelisib,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(c1)C(C)(C)C(F)(F)F,0.0,0.0
aprepitant,C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(cc(c1)C(F)(F)F)C(F)(F)F,0.0,0.0
bismuth-oxalate,[Bi].[Bi].OC(=O)C(O)=O.OC(=O)C(O)=O.OC(=O)C(O)=O,0.0,0.0
SC-236,NS(=O)(=O)c1ccc(cc1)-n1nc(cc1-c1ccc(Cl)cc1)C(F)(F)F,0.0,0.0
clomifene,CCN(CC)CCOc1ccc(cc1)C(=C(/Cl)c1ccccc1)\c1ccccc1,0.0,0.0
sesamin,C1Oc2ccc(cc2O1)[C@H]1OC[C@H]2[C@@H]1CO[C@@H]2c1ccc2OCOc2c1,0.0,0.0
fluphenazine,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)C(F)(F)F)CC1,0.0,0.0
trilostane,"C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(=O)[C@@H](C[C@]35C)C#N)[C@@H]1CC[C@@H]2O |a:1,4,5,8,10,15,19,22,&1:13|",0.0,0.0
L-701324,Oc1c(-c2cccc(Oc3ccccc3)c2)c(=O)[nH]c2cc(Cl)ccc12,0.0,0.0
sulfadoxine,COc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC,0.0,0.0
oxacillin,Cc1onc(c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O)-c1ccccc1,0.0,0.0
TH-302,Cn1c(COP(=O)(NCCBr)NCCBr)cnc1[N+]([O-])=O,0.0,0.0
zuranolone,[H][C@@]12CC[C@H](C(=O)Cn3cc(cn3)C#N)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@]2([H])C[C@](C)(O)CC[C@]12[H],0.0,0.0
zibotentan,COc1nc(C)cnc1NS(=O)(=O)c1cccnc1-c1ccc(cc1)-c1nnco1,0.0,0.0
gestodene,"CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1C=C[C@@]2(O)C#C |c:20,t:9|",0.0,0.0
L-670596,"CS(=O)(=O)c1ccc(Cn2c3[C@@H](CC(O)=O)CCCc3c3cc(F)cc(F)c23)cc1 |&1:11,r|",0.0,0.0
aprindine,CCN(CC)CCCN(C1Cc2ccccc2C1)c1ccccc1,0.0,0.0
pelrinone,Cc1nc(=O)c(C#N)c(NCc2cccnc2)[nH]1,0.0,0.0
MK-1903,OC(=O)c1n[nH]c2[C@@H]3C[C@@H]3Cc12,0.0,0.0
tramiprosate,NCCCS(O)(=O)=O,0.0,0.0
zinc-undecylenate,C=CCCCCCCCCC(=O)O[Zn]OC(=O)CCCCCCCCC=C,0.0,0.0
remoxipride,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,0.0,0.0
chloralose,OC[C@@H](O)[C@H]1O[C@@H]2O[C@@H](O[C@@H]2[C@H]1O)C(Cl)(Cl)Cl,0.0,0.0
"N-methyl-(-)ephedrine-[1R,2S]",C[C@@H]([C@H](O)c1ccccc1)N(C)C,0.0,0.0
TC-S-7009,[O-][N+](=O)c1c(Nc2cc(F)cc(Cl)c2)ccc2nonc12,0.0,0.0
